,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
8771,0.7440000000000001,The Beatles,0.721,144187,0.527,0,3lSi6qfnp2YZazTzcOLBZk,0.0,9,0.18600000000000005,-7.224,1,I'll Be Back - Remastered 2009,49,1964-07-10,0.0293,123.902,0.6409999999999999,1964
8776,0.5670000000000001,The Beatles,0.4920000000000001,150027,0.628,0,7wC4EW11mBVxDK3xdC7FTf,1.07e-06,7,0.267,-7.813,1,I'm A Loser - Remastered 2009,48,1964-12-04,0.0439,89.87700000000002,0.856,1964
8781,0.366,The Beatles,0.612,131280,0.7190000000000001,0,70XHAdaMaoLIOVb1hSaeJ4,3.88e-06,2,0.4370000000000001,-7.026,1,Any Time At All - Remastered 2009,48,1964-07-10,0.0398,141.016,0.7440000000000001,1964
8786,0.3670000000000001,The Beatles,0.612,154893,0.7879999999999999,0,5b9G4dtK3Tdguuy9BO3Nwo,0.0,0,0.382,-6.251,1,You Can't Do That - Remastered 2009,47,1964-07-10,0.0335,129.161,0.961,1964
8793,0.32299999999999995,The Beatles,0.551,124320,0.5329999999999999,0,42qkSeX6HNJYHxlk6cWoFe,0.722,9,0.173,-9.8,1,Words Of Love - Remastered 2009,48,1964-12-04,0.0297,122.358,0.85,1964
8811,0.434,The Beatles,0.374,124520,0.596,0,7cb2SdLm1UMLwdUoWwrZN1,0.0,9,0.098,-7.666,1,Baby's In Black - Remastered 2009,46,1964-12-04,0.0416,202.97,0.8759999999999999,1964
8814,0.0917,The Beatles,0.643,105987,0.73,0,01xMiErR26kH1KCif6uEYI,0.0,7,0.253,-6.859,1,I'll Cry Instead - Remastered 2009,46,1964-07-10,0.0347,96.711,0.96,1964
8827,0.7959999999999999,The Beatles,0.631,158627,0.424,0,6pPOkr2OxhQ6htrzOiDmq9,0.000143,6,0.118,-9.106,1,Mr Moonlight - Remastered 2009,45,1964-12-04,0.0438,126.127,0.589,1964
8828,0.488,The Beatles,0.74,123800,0.49,0,2CxTkdvhDuQrOxl8xXkdJS,0.0,2,0.103,-9.095,1,Every Little Thing - Remastered 2009,45,1964-12-04,0.038,123.227,0.6779999999999999,1964
8832,0.614,The Beatles,0.588,158147,0.7240000000000001,0,5xf0zdP4KCfshyVn02D3Ea,8.92e-05,7,0.877,-6.63,1,Kansas City / Hey-Hey-Hey-Hey - Medley / Remastered 2009,45,1964-12-04,0.0335,131.36,0.924,1964
8833,0.301,The Beatles,0.695,150040,0.53,0,6C6y4OWK1Ki3FVF1TIonxW,2e-06,2,0.0583,-8.309,1,What You're Doing - Remastered 2009,44,1964-12-04,0.0403,129.506,0.825,1964
8835,0.451,The Beatles,0.5329999999999999,154467,0.6679999999999999,0,3kQDIa85ZK8cKVn72NfBnl,0.0,7,0.149,-7.237,1,I Don't Want To Spoil The Party - Remastered 2009,44,1964-12-04,0.033,95.438,0.889,1964
8837,0.384,The Beatles,0.568,136640,0.7929999999999999,0,4oLQ0imA5IDtNUnhFKY87q,0.0,9,0.388,-6.2010000000000005,0,When I Get Home - Remastered 2009,44,1964-07-10,0.0482,125.375,0.64,1964
8839,0.0239,The Rolling Stones,0.603,206440,0.6890000000000001,0,6fLTxkL2wgC40fBM6IIe7r,3.27e-06,0,0.33,-10.729,1,It's All Over Now - Mono Version,46,1964-10-17,0.0304,99.088,0.7609999999999999,1964
8851,0.466,The Beatles,0.5429999999999999,146000,0.8059999999999999,0,4DZAH8eiqSAkMIE9l5D71U,0.0,4,0.134,-7.231,1,Everybody's Trying To Be My Baby - Remastered 2009,44,1964-12-04,0.0385,85.17200000000003,0.943,1964
8853,0.473,The Beatles,0.629,177427,0.545,0,2d7GP7Fz1NrfPpo7MzWZgb,5.08e-05,4,0.0854,-11.466,1,Honey Don't - Remastered 2009,43,1964-12-04,0.0348,162.438,0.735,1964
8867,0.879,The Beatles,0.332,125667,0.179,0,3BQHpFgAp4l80e1XslIjNI,0.0,5,0.0886,-11.83,1,Yesterday - Remastered 2009,76,1965-08-06,0.0326,96.529,0.315,1965
8868,0.0383,The Rolling Stones,0.723,222813,0.863,0,2PzU4IB8Dr6mxV3lHuaG34,0.0317,2,0.128,-7.89,1,(I Can't Get No) Satisfaction - Mono Version,77,1965-07-30,0.0338,136.30200000000002,0.931,1965
8871,0.449,The Beatles,0.688,146333,0.435,0,3KfbEIOC7YIv90FIfNSZpo,0.0,9,0.113,-11.359000000000002,1,In My Life - Remastered 2009,72,1965-12-03,0.0323,103.239,0.435,1965
8878,0.188,The Beatles,0.534,139560,0.725,0,7DD7eSuYSC5xk2ArU62esN,0.0,6,0.0994,-7.576,0,Help! - Remastered 2009,71,1965-08-06,0.0332,95.003,0.763,1965
8889,0.183,The Beatles,0.425,124693,0.369,0,1H7gMYGykdtwZOV6s1N0by,0.00126,4,0.112,-11.876,1,Norwegian Wood (This Bird Has Flown) - Remastered 2009,67,1965-12-03,0.0379,176.625,0.65,1965
8901,0.652,The Beatles,0.578,162373,0.29,0,5By7Pzgl6TMuVJG168VWzS,0.0,5,0.105,-12.501,0,Michelle - Remastered 2009,66,1965-12-03,0.0341,117.403,0.6659999999999999,1965
8905,0.0457,The Beatles,0.519,189680,0.85,0,7CZiDzGVjUssMSOXrDNYHL,0.0,9,0.233,-6.777,1,Ticket To Ride - Remastered 2009,64,1965-08-06,0.0678,123.419,0.7490000000000001,1965
8907,0.0173,The Beatles,0.754,148893,0.5710000000000001,0,06ypiqmILMdVeaiErMFA91,0.0,2,0.3,-8.547,1,Drive My Car - Remastered 2009,64,1965-12-03,0.0421,122.463,0.82,1965
8910,0.00797,The Beatles,0.534,163693,0.624,0,5SUlhldQJtOhUr2GzH5RI7,0.0,4,0.128,-9.589,1,Nowhere Man - Remastered 2009,63,1965-12-03,0.0462,121.402,0.687,1965
8911,0.207,The Beatles,0.398,129120,0.392,0,4F1AgKpuFRMLEgtPETVwZk,0.0,7,0.102,-9.05,1,You've Got To Hide Your Love Away - Remastered 2009,63,1965-08-06,0.0282,184.267,0.378,1965
8913,0.723,The Beatles,0.647,125040,0.56,0,788U1Sqej9M6c4iikuDGxO,0.0,9,0.118,-8.809,1,I've Just Seen A Face - Remastered 2009,62,1965-08-06,0.0387,120.418,0.913,1965
8917,0.5870000000000001,The Beatles,0.6990000000000001,151720,0.294,0,6tQvjqDIK9GXWIC6mejms8,0.0,5,0.117,-13.205,0,Girl - Remastered 2009,62,1965-12-03,0.0294,96.615,0.893,1965
8919,0.00772,The Beatles,0.667,146387,0.498,0,5E3BVY66TEDexFutOO5GeS,0.0,1,0.0481,-11.027,1,I'm Looking Through You - Remastered 2009,60,1965-12-03,0.0364,85.84299999999998,0.774,1965
